date,game_id,home_team,away_team,favorite_team,underdog_team,spread,model_name,pick_side,pick_team,pick_line,result
2025-11-17,2025-11-17_Denver_Chicago,Denver,Chicago,Denver,Chicago,14.5,Decision Tree,UNDERDOG,Chicago,14.5,WIN
2025-11-18,2025-11-18_GoldenState_Orlando,Orlando,Golden State,Golden State,Orlando,3.5,Logistic,UNDERDOG,Orlando,3.5,WIN
2025-11-18,2025-11-18_GoldenState_Orlando,Orlando,Golden State,Golden State,Orlando,3.5,Linear,UNDERDOG,Orlando,3.5,WIN
2025-11-18,2025-11-18_GoldenState_Orlando,Orlando,Golden State,Golden State,Orlando,3.5,Random Forest,UNDERDOG,Orlando,3.5,WIN
2025-11-18,2025-11-18_GoldenState_Orlando,Orlando,Golden State,Golden State,Orlando,3.5,Decision Tree,FAVORITE,Golden State,-3.5,LOSS
2025-11-18,2025-11-18_Boston_Brooklyn,Brooklyn,Boston,Boston,Brooklyn,10.5,Logistic,FAVORITE,Boston,-10.5,WIN
2025-11-18,2025-11-18_Boston_Brooklyn,Brooklyn,Boston,Boston,Brooklyn,10.5,Linear,FAVORITE,Boston,-10.5,WIN
2025-11-18,2025-11-18_Boston_Brooklyn,Brooklyn,Boston,Boston,Brooklyn,10.5,Random Forest,FAVORITE,Boston,-10.5,WIN
2025-11-18,2025-11-18_Boston_Brooklyn,Brooklyn,Boston,Boston,Brooklyn,10.5,Decision Tree,FAVORITE,Boston,-10.5,WIN
2025-11-18,2025-11-18_Detroit_Atlanta,Atlanta,Detroit,Detroit,Atlanta,1.5,Logistic,UNDERDOG,Atlanta,1.5,LOSS
2025-11-18,2025-11-18_Detroit_Atlanta,Atlanta,Detroit,Detroit,Atlanta,1.5,Linear,UNDERDOG,Atlanta,1.5,LOSS
2025-11-18,2025-11-18_Detroit_Atlanta,Atlanta,Detroit,Detroit,Atlanta,1.5,Random Forest,UNDERDOG,Atlanta,1.5,LOSS
2025-11-18,2025-11-18_Detroit_Atlanta,Atlanta,Detroit,Detroit,Atlanta,1.5,Decision Tree,UNDERDOG,Atlanta,1.5,LOSS
2025-11-18,2025-11-18_SanAntonio_Memphis,Memphis,San Antonio,San Antonio,Memphis,6.5,Logistic,UNDERDOG,Memphis,6.5,WIN
2025-11-18,2025-11-18_SanAntonio_Memphis,Memphis,San Antonio,San Antonio,Memphis,6.5,Linear,UNDERDOG,Memphis,6.5,WIN
2025-11-18,2025-11-18_SanAntonio_Memphis,Memphis,San Antonio,San Antonio,Memphis,6.5,Random Forest,UNDERDOG,Memphis,6.5,WIN
2025-11-18,2025-11-18_SanAntonio_Memphis,Memphis,San Antonio,San Antonio,Memphis,6.5,Decision Tree,UNDERDOG,Memphis,6.5,WIN
2025-11-18,2025-11-18_LaLakers_Utah,La Lakers,Utah,La Lakers,Utah,12.5,Logistic,FAVORITE,La Lakers,-12.5,WIN
2025-11-18,2025-11-18_LaLakers_Utah,La Lakers,Utah,La Lakers,Utah,12.5,Linear,FAVORITE,La Lakers,-12.5,WIN
2025-11-18,2025-11-18_LaLakers_Utah,La Lakers,Utah,La Lakers,Utah,12.5,Random Forest,FAVORITE,La Lakers,-12.5,WIN
2025-11-18,2025-11-18_LaLakers_Utah,La Lakers,Utah,La Lakers,Utah,12.5,Decision Tree,FAVORITE,La Lakers,-12.5,WIN
2025-11-18,2025-11-18_Portland_Phoenix,Portland,Phoenix,Portland,Phoenix,2.5,Logistic,FAVORITE,Portland,-2.5,LOSS
2025-11-18,2025-11-18_Portland_Phoenix,Portland,Phoenix,Portland,Phoenix,2.5,Linear,FAVORITE,Portland,-2.5,LOSS
2025-11-18,2025-11-18_Portland_Phoenix,Portland,Phoenix,Portland,Phoenix,2.5,Random Forest,FAVORITE,Portland,-2.5,LOSS
2025-11-18,2025-11-18_Portland_Phoenix,Portland,Phoenix,Portland,Phoenix,2.5,Decision Tree,FAVORITE,Portland,-2.5,LOSS
2025-11-20,2025-11-20_Orlando_LaClippers,Orlando,La Clippers,Orlando,La Clippers,5.5,Logistic,UNDERDOG,La Clippers,5.5,LOSS
2025-11-20,2025-11-20_Orlando_LaClippers,Orlando,La Clippers,Orlando,La Clippers,5.5,Linear,UNDERDOG,La Clippers,5.5,LOSS
2025-11-20,2025-11-20_Orlando_LaClippers,Orlando,La Clippers,Orlando,La Clippers,5.5,Random Forest,FAVORITE,Orlando,-5.5,WIN
2025-11-20,2025-11-20_Orlando_LaClippers,Orlando,La Clippers,Orlando,La Clippers,5.5,Decision Tree,UNDERDOG,La Clippers,5.5,LOSS
